city_id,city,latitude,longitude,temperature,humidity,cloudiness,wind_speed,country,date_time
623,piti village,13.4626,144.6933,79.7,83,42,9.46,GU,2026-03-04 15:13:48
624,sile,41.1754,29.6133,43.54,75,5,4.88,TR,2026-03-04 15:13:48
625,orichi,58.4036,49.0572,-2.16,100,100,4.12,RU,2026-03-04 15:13:48
626,el haouaria,37.05,11.0144,58.44,86,99,22.06,TN,2026-03-04 15:13:48
627,majene,-3.5403,118.9707,75.49,83,100,6.13,ID,2026-03-04 15:13:49
628,puerto aysen,-45.4,-72.7,50.99,81,95,4.92,CL,2026-03-04 15:13:49
629,hyesan,41.4017,128.1778,21.43,81,99,0.43,KP,2026-03-04 15:13:49
630,alakurtti,66.9672,30.3491,1.81,99,82,4.21,RU,2026-03-04 15:13:49
631,yaren,-0.5472,166.916,83.34,74,63,13.71,NR,2026-03-04 15:13:49
632,tan-tan,28.438,-11.1032,58.46,80,23,8.77,MA,2026-03-04 15:13:49
633,xiaoweizhai,26.1903,107.5125,46.96,95,5,1.45,CN,2026-03-04 15:13:49
634,nagqu,31.5,92.0,20.93,16,33,1.74,CN,2026-03-04 15:13:49
635,rudnichnyy,59.617,52.4703,-15.97,100,97,2.73,RU,2026-03-04 15:13:49
636,lang son,21.8333,106.7333,58.82,89,12,2.17,VN,2026-03-04 15:13:49
637,smithers,54.7804,-127.1743,43.79,70,96,3.47,CA,2026-03-04 15:13:50
638,nizhnyaya poyma,56.1622,97.1933,5.79,98,100,3.02,RU,2026-03-04 15:13:50
639,mossendjo,-2.9506,12.7261,68.7,96,72,1.21,CG,2026-03-04 15:13:50
640,lospalos,-8.5186,127.0025,72.43,94,100,7.63,TL,2026-03-04 15:13:50
641,mont-dore,-22.2833,166.5833,75.18,92,99,5.01,NC,2026-03-04 15:13:50
642,ust'-ordynskiy,52.805,104.7508,-4.81,98,99,3.62,RU,2026-03-04 15:13:51
643,winton,37.3894,-120.6133,66.09,48,8,14.0,US,2026-03-04 15:13:51
644,molbergen,52.8667,7.9333,43.45,87,0,7.61,DE,2026-03-04 15:13:51
645,bontang,0.1333,117.5,75.61,91,100,8.79,ID,2026-03-04 15:13:51
646,kiama,-34.6833,150.8667,72.77,86,80,3.0,AU,2026-03-04 15:13:51
647,kasongo-lunda,-6.4667,16.8167,70.11,83,100,0.31,CD,2026-03-04 15:13:51
648,aral,40.5156,81.2636,45.1,31,100,2.06,CN,2026-03-04 15:13:51
649,gilze,51.5417,4.9444,47.05,85,72,6.71,NL,2026-03-04 15:13:52
650,douentza,14.9951,-2.9517,80.62,9,67,6.91,ML,2026-03-04 15:13:52
651,tamanrasset,22.785,5.5228,65.07,28,98,6.89,DZ,2026-03-04 15:13:52
652,harper,4.375,-7.7169,79.16,85,17,6.38,LR,2026-03-04 15:13:52
653,koulamoutou,-1.1303,12.4736,74.8,83,95,2.13,GA,2026-03-04 15:13:52
654,nizhnyaya tavda,57.6731,66.1725,7.0,94,100,10.63,RU,2026-03-04 15:13:52
655,novo aripuana,-5.1206,-60.3797,84.4,69,98,2.3,BR,2026-03-04 15:13:52
656,ciudad lazaro cardenas,17.9583,-102.2,81.84,61,2,10.71,MX,2026-03-04 15:13:52
657,san luis,-33.295,-66.3356,75.74,51,90,12.33,AR,2026-03-04 15:13:53
658,nizhnesortymskiy,62.4397,71.7603,-27.65,100,69,8.46,RU,2026-03-04 15:13:53
659,boston,42.3584,-71.0598,36.48,61,98,4.68,US,2026-03-04 15:11:38
660,rio preto da eva,-2.6994,-59.6997,88.12,59,86,3.13,BR,2026-03-04 15:13:53
661,talakan,50.3167,130.3667,-9.22,100,79,1.72,RU,2026-03-04 15:13:53
662,zhanibek,49.4167,46.85,26.78,89,100,9.19,KZ,2026-03-04 15:13:53
663,hauterive,46.0901,3.4459,46.27,84,10,3.27,FR,2026-03-04 15:13:53
664,palmer,42.1584,-72.3287,35.94,69,97,1.54,US,2026-03-04 15:13:53
665,cogealac,44.55,28.5667,40.46,88,8,6.53,RO,2026-03-04 15:13:53
666,caleta de carquin,-11.0925,-77.6267,75.36,75,96,9.8,PE,2026-03-04 15:13:54
667,san rafael,-34.6177,-68.3301,76.6,42,86,12.1,AR,2026-03-04 15:13:54
668,kindu,-2.95,25.95,67.41,99,100,1.52,CD,2026-03-04 15:13:54
669,kudahuvadhoo,2.6708,72.8944,80.46,71,38,8.66,MV,2026-03-04 15:13:54
670,branson,36.6437,-93.2185,61.36,97,100,7.78,US,2026-03-04 15:13:54
671,chinde,26.8212,87.7095,65.19,42,0,7.43,NP,2026-03-04 15:13:54
672,kayangel,8.0823,134.7173,82.72,75,54,15.1,PW,2026-03-04 15:13:54
673,corumba,-19.0092,-57.6533,86.72,59,90,2.62,BR,2026-03-04 15:13:54
674,mpika,-11.8343,31.4529,61.54,95,100,0.81,ZM,2026-03-04 15:13:54
675,hovd,48.0056,91.6419,8.31,69,100,4.29,MN,2026-03-04 15:13:54
676,ishigaki,24.3448,124.1572,68.9,67,100,24.25,JP,2026-03-04 15:13:55
677,kochkor-ata,41.0389,72.4833,46.87,78,100,1.74,UZ,2026-03-04 15:13:55
678,sitangkai,4.6628,119.3928,80.94,80,80,14.2,PH,2026-03-04 15:13:55
679,tapa,59.2606,25.9586,36.5,81,100,12.21,EE,2026-03-04 15:13:55
680,ingeniero jacobacci,-41.3427,-69.5448,66.49,11,19,14.67,AR,2026-03-04 15:13:55
681,yalvac,38.2956,31.1778,35.37,54,3,5.46,TR,2026-03-04 15:13:55
682,pao de acucar,-9.7483,-37.4367,84.6,56,100,12.93,BR,2026-03-04 15:13:55
683,la'ie,21.6477,-157.9253,74.77,76,56,17.72,US,2026-03-04 15:13:55
684,revda,56.801,59.9303,4.69,96,100,7.72,RU,2026-03-04 15:13:55
685,naracoorte,-36.9579,140.7383,59.52,84,0,4.79,AU,2026-03-04 15:13:55
686,vilyuysk,63.7553,121.6247,-16.71,100,97,2.82,RU,2026-03-04 15:13:56
687,zambezi,-13.5432,23.1047,65.82,97,100,5.57,ZM,2026-03-04 15:13:56
688,las khorey,11.1595,48.1967,76.46,82,16,1.34,SO,2026-03-04 15:13:56
689,luena,-11.7833,19.9167,63.93,97,100,3.8,AO,2026-03-04 15:13:56
690,along,28.1667,94.7667,52.03,73,3,0.34,IN,2026-03-04 15:13:56
691,raduzhny,62.0961,77.475,-23.78,100,92,6.33,RU,2026-03-04 15:13:56
